Tred_0,Tred_0_1,Tred_0_2,Tred_0_3,Tred_0_4,Tred_0_5,Tred_0_6,Tred_0_7,Tred_0_8,Tred_0_9,Tred_1,Dred_0,Dred_0_1,Dred_0_2,Dred_0_3,Dred_0_4,Dred_0_5,Dred_0_6,Dred_0_7,Dred_0_8,Dred_0_9,Dred_1,SMILES_part1,SMILES_part2
568.74,562.6508068,556.5609899,550.4705492,544.3794848,538.2877967,532.1954848,526.1025492,520.0089899,513.9148068,507.82,2.031,2.083153054,2.138009578,2.195785317,2.2567196,2.321078653,2.389159485,2.461294472,2.537856783,2.619266831,2.706,CCCCCC,CCCCCCCC
594.55,591.0458346,586.3930393,580.591614,573.6415589,565.5428739,556.2955589,545.899614,534.3550393,521.6618346,507.82,1.81,1.869884825,1.934366505,2.003989385,2.07938738,2.161303179,2.250612624,2.348355948,2.455778242,2.574382493,2.706,CCCCCC,CCCCCCCCC
617.7,608.9496931,599.7889403,590.1852918,580.1062368,569.5192029,558.3915563,546.6906011,534.3835801,521.4376736,507.82,1.64,1.708782204,1.783366852,1.864457784,1.952875788,2.0495837,2.155718243,2.27263081,2.401940257,2.545602052,2.706,CCCCCC,CCCCCCCCCC
658.1,644.2345524,630.4499527,616.6206078,602.6200176,588.3207674,573.594519,558.3120028,542.3430093,525.5563802,507.82,1.33,1.401949076,1.481955043,1.571450898,1.672230879,1.786571957,1.917407889,2.068584432,2.245243589,2.454420003,2.706,CCCCCC,CCCCCCCCCCCC
562.02,548.1138307,536.8270724,527.9477358,521.2606522,516.5474132,513.5863096,512.1522693,512.0167925,512.9478868,514.71,3.901,4.068253487,4.242707606,4.424612435,4.614226102,4.811817013,5.017666834,5.232074338,5.45536034,5.687873892,5.93,CCO,c1ccccc1
591.75,572.9901239,557.2426286,544.3043598,533.9692747,526.0283898,520.2697288,516.4782686,514.4358846,513.9212943,514.71,3.169,3.33896874,3.5244148,3.727433767,3.950511118,4.196616875,4.469329199,4.772997799,5.112962969,5.495853662,5.93,CCO,Cc1ccccc1
719,698.9434605,678.804152,658.5820745,638.277228,617.8896125,597.419228,576.8660745,556.230152,535.5114605,514.71,5.88,5.982087117,6.065144486,6.127435267,6.16760881,6.18477189,6.17853756,6.149046747,6.096960353,6.023422698,5.93,CCO,OCCO
553.6,553.7664406,554.0830054,554.5496946,555.1665082,555.933446,556.8505082,557.9176946,559.1350054,560.5024406,562.02,3.224,3.282595589,3.342978529,3.40522821,3.469428733,3.535669273,3.604044457,3.674654794,3.747607132,3.823015168,3.901,c1ccccc1,C1CCCCC1
540.2,541.0732153,542.2372717,543.6921691,545.4379075,547.474487,549.8019075,552.4201691,555.3292717,558.5292153,562.02,2.33,2.433128394,2.544503041,2.665130535,2.796187582,2.939058492,3.095383051,3.267118276,3.45661899,3.666744268,3.901,c1ccccc1,CCCCCCC
591.75,588.742521,585.7427039,582.7505489,579.7660559,576.7892249,573.8200559,570.8585489,567.9047039,564.958521,562.02,3.169,3.229385558,3.292167012,3.357489781,3.425511291,3.496402249,3.570348067,3.647550483,3.728229399,3.812624972,3.901,c1ccccc1,Cc1ccccc1
