name/name,isomeric_smiles,Model,BetaT,GammaT,BetaV,GammaV
R40/Isobutene                                             [R40/IBE],CCl.CC(=C)C,XR0,0.99948027,0.97922,1,1
R13I1/Isobutane                                           [CF3I/C4I],C(F)(F)(F)I.CC(C)C,XR0,1.001999992,0.98459,1,1
R1234ze(E)/Pentane                                        [R1234ZEE/C5],C(=C/F)\C(F)(F)F.CCCCC,XR0,1.007049345,0.937,1,1
R227ea/Isobutane                                          [R227EA/C4I],C(C(F)(F)F)(C(F)(F)F)F.CC(C)C,XR0,1,0.9078054,1,1.0009088
R227ea/Isobutene                                          [R227EA/IBE],C(C(F)(F)F)(C(F)(F)F)F.CC(=C)C,XR0,0.987215559,0.92836,1,1
R227ea/Butane                                             [R227EA/C4],C(C(F)(F)F)(C(F)(F)F)F.CCCC,XR0,0.985794698,0.90171,1,1
R124/R142b                                                [R124/R142B],C(C(F)(F)F)(F)Cl.CC(F)(F)Cl,XR0,1,1.0025158,1,1.0005123
Isobutane/R245fa                                          [C4I/R245FA],CC(C)C.C(C(F)F)C(F)(F)F,XR0,1.01357,0.90803,1,1
R142b/R141b                                               [R142B/R141B],CC(F)(F)Cl.CC(F)(Cl)Cl,XR0,1,0.9945438,1,1.001278
R142b/R113                                                [R142B/R113],CC(F)(F)Cl.C(C(F)(Cl)Cl)(F)(F)Cl,XR0,1,0.9839683,1,1.0129894
Perfluorobutane/R365mfc                                   [C4F10/R365MFC],C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F.CC(CC(F)(F)F)(F)F,XR0,0.99786,0.93067,1,1
Butane/R245fa                                             [C4/R245FA],CCCC.C(C(F)F)C(F)(F)F,XR0,1.02,0.904,1,1
Butane/R113                                               [C4/R113],CCCC.C(C(F)(Cl)Cl)(F)(F)Cl,XR0,1.0029,0.99168,1,1
R114/R21                                                  [R114/R21],C(C(F)(F)Cl)(F)(F)Cl.C(F)(Cl)Cl,XR0,1,0.960909,1,1.013936
R114/Pentane                                              [R114/C5],C(C(F)(F)Cl)(F)(F)Cl.CCCCC,XR0,1.003552576,0.97011,1,1
R114/R113                                                 [R114/R113],C(C(F)(F)Cl)(F)(F)Cl.C(C(F)(Cl)Cl)(F)(F)Cl,XR0,1,1.0031258,1,1.0013426
R114/Hexane                                               [R114/C6],C(C(F)(F)Cl)(F)(F)Cl.CCCCCC,XR0,1.003723815,0.98179,1,1
R114/Ethanol                                              [R114/ETO],C(C(F)(F)Cl)(F)(F)Cl.CCO,XR0,1.048646721,0.93497,1,1
R114/Benzene                                              [R114/BEN],C(C(F)(F)Cl)(F)(F)Cl.C1=CC=CC=C1,XR0,0.998821391,0.95788,1,1
R114/Heptane                                              [R114/C7],C(C(F)(F)Cl)(F)(F)Cl.CCCCCCC,XR0,1.00791211,0.99663,1,1
R21/Methanol                                              [R21/MEO],C(F)(Cl)Cl.CO,XR0,0.969208254,0.91282,1,1
R21/Ethanol                                               [R21/ETO],C(F)(Cl)Cl.CCO,XR0,1.020543541,0.90692,1,1
R245fa/Isopentane                                         [R245FA/C5I],C(C(F)F)C(F)(F)F.CCC(C)C,XR0,1.011756612,0.90433,1,1
R245fa/Pentane                                            [R245FA/C5],C(C(F)F)C(F)(F)F.CCCCC,XR0,1,0.9,1,1
R123/Water                                                [R123/H2O],C(C(F)(F)F)(Cl)Cl.O,XR0,1.099959961,0.95847,1,1
Isopentane/R365mfc                                        [C5I/R365MFC],CCC(C)C.CC(CC(F)(F)F)(F)F,XR0,1.01335,0.9238,1,1
R141b/Pentane                                             [R141B/C5],CC(F)(Cl)Cl.CCCCC,XR0,1,0.977,1,1
RE347mcc/Pentane                                          [RE347MCC/C5],COC(C(C(F)(F)F)(F)F)(F)F.CCCCC,XR0,1,0.928,1,1
RE347mcc/Novec649                                         [RE347MCC/N649],COC(C(C(F)(F)F)(F)F)(F)F.C(=O)(C(C(F)(F)F)(C(F)(F)F)F)C(C(F)(F)F)(F)F,XR0,1.011122346,0.98,1,1
R113/Acetone                                              [R113/ACT],C(C(F)(Cl)Cl)(F)(F)Cl.CC(=O)C,XR0,1.003713741,0.95086,1,1
R113/Hexane                                               [R113/C6],C(C(F)(Cl)Cl)(F)(F)Cl.CCCCCC,XR0,1.00060036,0.98509,1,1
R113/Ethanol                                              [R113/ETO],C(C(F)(Cl)Cl)(F)(F)Cl.CCO,XR0,1.011940903,0.90301,1,1
R113/Benzene                                              [R113/BEN],C(C(F)(Cl)Cl)(F)(F)Cl.C1=CC=CC=C1,XR0,0.996293787,0.97215,1,1
R113/Heptane                                              [R113/C7],C(C(F)(Cl)Cl)(F)(F)Cl.CCCCCCC,XR0,1.004247969,0.99057,1,1
