name/name,isomeric_smiles,Model,BetaT,GammaT,BetaV,GammaV
Carbon dioxide/R32                                        [CO2/R32],C(=O)=O.C(F)F,XR0,1,0.9978225,1,1.0058521
Carbon dioxide/R125                                       [CO2/R125],C(=O)=O.C(C(F)(F)F)(F)F,XR0,1.0115,0.96741,1,1
Carbon dioxide/R143a                                      [CO2/R143A],C(=O)=O.CC(F)(F)F,XR0,1.02027,0.98474,1,1
Carbon dioxide/R22                                        [CO2/R22],C(=O)=O.C(F)(F)Cl,XR0,1,1.0037903,1,1.0261472
Carbon dioxide/R1216                                      [CO2/R1216],C(=O)=O.C(=C(F)F)(C(F)(F)F)F,XR0,1.005,0.99,1,1
Carbon dioxide/R12                                        [CO2/R12],C(=O)=O.C(F)(F)(Cl)Cl,XR0,1.01811,0.9576,1,1
Carbon dioxide/R134a                                      [CO2/R134A],C(=O)=O.C(C(F)(F)F)F,XR0,1,1.008,1,1
Carbon dioxide/R152a                                      [CO2/R152A],C(=O)=O.CC(F)F,XR0,1.00224,1.00646,1,1
Carbon dioxide/R227ea                                     [CO2/R227EA],C(=O)=O.C(C(F)(F)F)(C(F)(F)F)F,XR0,1.00608,1.00235,1,1
Carbon dioxide/R124                                       [CO2/R124],C(=O)=O.C(C(F)(F)F)(F)Cl,XR0,0.99517,1.01028,1,1
Carbon dioxide/R142b                                      [CO2/R142B],C(=O)=O.CC(F)(F)Cl,XR0,1,0.9888,1,1.0626246
Carbon dioxide/R123                                       [CO2/R123],C(=O)=O.C(C(F)(F)F)(Cl)Cl,XR0,0.98639,1.05886,1,1
R41/R40                                                   [R41/R40],CF.CCl,XR0,1.004843345,0.9981,1,1
R41/Toluene                                               [R41/TOL],CCl.CC1=CC=CC=C1,XR0,0.975390032,1.09707,1,1
R116/Propylene                                            [R116/PRY],C(C(F)(F)F)(F)(F).CC=C,XR0,0.986183568,0.87937,1,1
R116/R143a                                                [R116/R143A],C(C(F)(F)F)(F)(F).CC(F)(F)F,XR0,1.01003,0.93499,1,1
R116/Propane                                              [R116/C3],C(C(F)(F)F)(F)(F).CCC,XR0,0.983661384,0.89173,1,1
R116/R22                                                  [R116/R22],C(C(F)(F)F)(F)(F).C(F)(F)Cl,XR0,0.99670996,0.91302,1,1
R116/R134a                                                [R116/R134A],C(C(F)(F)F)(F)(F)F.C(C(F)(F)F)F,XR0,1,0.942852,1,1.0010759
Sulfur hexafluoride/R32                                   [SF6/R32],FS(F)(F)(F)(F)F.C(F)F,XR0,1.0017029,0.86502,1,1
Sulfur hexafluoride/R113                                  [SF6/R113],FS(F)(F)(F)(F)F.C(C(F)(Cl)Cl)(F)(F)Cl,XR0,0.9296359,1.06961,1,1
R32/Propylene                                             [R32/PRY],C(F)F.CC=C,XR0,1.003673445,0.90627,1,1
R32/R143a                                                 [R32/R143A],C(F)F.CC(F)(F)F,XR0,1,0.9748252,1,1.0178106
R32/Propane                                               [R32/C3],C(F)F.CCC,XR0,1,0.8616194,1,1.0198058
R32/R22                                                   [R32/R22],C(F)F.C(F)(F)Cl,XR0,1,0.9933028,1,1.0073196
R32/R115                                                  [R32/R115],C(F)F.C(C(F)(F)Cl)(F)(F)F,XR0,1,0.8807734,1,1.0424065
R32/R161                                                  [R32/R161],C(F)F.CCF,XR0,0.9976157,0.98909,1,1
R32/R12                                                   [R32/R12],C(F)F.C(F)(F)(Cl)Cl,XR0,1,0.9032201,1,1.0256397
R32/Dimethyl ether                                        [R32/DME],C(F)F.COC,XR0,1,1.0255,1,0.8321
R32/R152a                                                 [R32/R152A],C(F)F.CC(F)F,XR0,1,0.9975547,1,1.0120247
R32/R227ea                                                [R32/R227EA],C(F)F.C(C(F)(F)F)(C(F)(F)F)F,XR0,1,0.9573075,1,1.0589568
R32/Isobutane                                             [R32/C4I],C(F)F.CC(C)C,XR0,1,0.8573096,1,1.0454476
R32/Sulfur dioxide                                        [R32/SO2],C(F)F.O=S=O,XR0,1.002379951,0.99968,1,1
R32/R142b                                                 [R32/R142B],C(F)F.CC(F)(F)Cl,XR0,1,0.9718126,1,1.0305781
R32/Butene                                                [R32/1BE],C(F)F.CCC=C,XR0,1.020262411,0.85398,1,1
R32/R236fa                                                [R32/R236FA],C(F)F.C(C(F)(F)F)C(F)(F)F,XR0,1,0.9881848,1,1.0540041
R32/Butane                                                [R32/C4],C(F)F.CCCC,XR0,1,0.8997516,1,0.7952703
R32/R236ea                                                [R32/R236EA],C(F)F.C(C(F)F)(C(F)(F)F)F,XR0,1.0018835,1.01165,1,1
R32/R123                                                  [R32/R123],C(F)F.C(C(F)(F)F)(Cl)Cl,XR0,1,0.972061,1,1.0550886
R32/Isopentane                                            [R32/C5I],C(F)F.CCC(C)C,XR0,1,0.8885477,1,1.0683958
R32/Methanol                                              [R32/MEO],C(F)F.CO,XR0,1.007049345,1.01175,1,1
R32/Ethanol                                               [R32/ETO],C(F)F.CCO,XR0,1.025031263,1.01657,1,1
R32/Toluene                                               [R32/TOL],C(F)F.CC1=CC=CC=C1,XR0,1.015980045,0.98173,1,1
R125/Propylene                                            [R125/PRY],C(C(F)(F)F)(F)F.CC=C,XR0,0.992723338,0.92944,1,1
R125/Propane                                              [R125/C3],C(C(F)(F)F)(F)F.CCC,XR0,1,0.8993018,1,1.0001703
R125/R22                                                  [R125/R22],C(C(F)(F)F)(F)F.C(F)(F)Cl,XR0,1,0.9775661,1,1.0046832
R125/R115                                                 [R125/R115],C(C(F)(F)F)(F)F.C(C(F)(F)Cl)(F)(F)F,XR0,1.000280078,0.96147,1,1
R125/R161                                                 [R125/R161],C(C(F)(F)F)(F)F.CCF,XR0,1.01043,0.99311,1,1
R125/Ammonia                                              [R125/NH3],C(C(F)(F)F)(F)F.N,XR0,0.95649845,0.96866,1,1
R125/Cyclopropane                                         [R125/CC3],C(C(F)(F)F)(F)F.C1CC1,XR0,0.985008176,0.91039,1,1
R125/R1234yf                                              [R125/R1234YF],C(C(F)(F)F)(F)F.C=C(C(F)(F)F)F,XR0,1,0.999,1,1
R125/Dimethyl ether                                       [R125/DME],C(C(F)(F)F)(F)F.COC,XR0,1,1.0529664,1,1.0039379
R125/R152a                                                [R125/R152A],C(C(F)(F)F)(F)F.CC(F)F,XR0,0.99429,1.00282,1,1
R125/RE143a                                               [R125/RE143A],C(C(F)(F)F)(F)F.COC(F)(F)F,XR0,1.00105,1.00517,1,1
R125/R1234ze(E)                                           [R125/R1234ZEE],C(C(F)(F)F)(F)F.C(=C/F)\C(F)(F)F,XR0,1.003,1.0071,1,1
R125/R227ea                                               [R125/R227EA],C(C(F)(F)F)(F)F.C(C(F)(F)F)(C(F)(F)F)F,XR0,1.00101,1.00302,1,1
R125/Isobutane                                            [R125/C4I],C(C(F)(F)F)(F)F.CC(C)C,XR0,1,0.9053808,1,1.0036183
R125/R236fa                                               [R125/R236FA],C(C(F)(F)F)(F)F.C(C(F)(F)F)C(F)(F)F,XR0,1,1.0094115,1,1.0063437
R125/Butane                                               [R125/C4],C(C(F)(F)F)(F)F.CCCC,XR0,1,0.9013212,1,1.003246
R125/R236ea                                               [R125/R236EA],C(C(F)(F)F)(F)F.C(C(F)F)(C(F)(F)F)F,XR0,0.99947,1.01046,1,1
R125/R245fa                                               [R125/R245FA],C(C(F)(F)F)(F)F.C(C(F)F)C(F)(F)F,XR0,0.99836,1.01325,1,1
R125/Isopentane                                           [R125/C5I],C(C(F)(F)F)(F)F.CCC(C)C,XR0,1,0.9155196,1,1.0119468
R125/Ethanol                                              [R125/ETO],C(C(F)(F)F)(F)F.CCO,XR0,0.995401246,1.05044,1,1
Propylene/R22                                             [PRY/R22],CC=C.C(F)(F)Cl,XR0,1,0.9784013,1,1.0009101
Propylene/R115                                            [PRY/R115],CC=C.C(F)(F)Cl,XR0,1,0.9428297,1,1.0082859
Propylene/R1216                                           [PRY/R1216],CC=C.C(=C(F)F)(C(F)(F)F)F,XR0,1.01903,0.93686,1,1
Propylene/R12                                             [PRY/R12],CC=C.C(F)(F)(Cl)Cl,XR0,1,0.9887079,1,1.0020049
Propylene/R134a                                           [PRY/R134A],CC=C.C(C(F)(F)F)F,XR0,1,0.9364605,1,1.0007007
Propylene/R152a                                           [PRY/R152A],CC=C.CC(F)F,XR0,1,0.9499507,1,1.0000359
Propylene/R142b                                           [PRY/R142B],CC=C.CC(F)(F)Cl,XR0,1,0.9913727,1,1.0035574
Propylene/R114                                            [PRY/R114],CC=C.C(C(F)(F)Cl)(F)(F)Cl,XR0,1,0.9744438,1,1.0187337
R143a/Propane                                             [R143A/C3],CC(F)(F)F.CCC,XR0,1,0.9130538,1,1.0000536
R143a/R22                                                 [R143A/R22],CC(F)(F)F.C(F)(F)Cl,XR0,1,0.9990265,1,1.0023121
R143a/R161                                                [R143A/R161],CC(F)(F)F.CCF,XR0,0.99931,0.99556,1,1
R143a/R12                                                 [R143A/R12],CC(F)(F)F.C(F)(F)(Cl)Cl,XR0,1,0.94844,1,1.0007214
R143a/R1234yf                                             [R143A/R1234YF],CC(F)(F)F.C=C(C(F)(F)F)F,XR0,0.9997601,0.99523,1,1
