BetaT,GammaT,BetaV,GammaV,SMILES_part1,SMILES_part2
1.0018835,1.01165,1,1.0,FCF,FC(F)C(F)C(F)(F)F
1.0,0.972061,1,1.0550886,FCF,FC(F)(F)C(Cl)Cl
1.0,0.8885477,1,1.0683958,FCF,CCC(C)C
1.007049345,1.01175,1,1.0,FCF,CO
1.025031263,1.01657,1,1.0,FCF,CCO
1.015980045,0.98173,1,1.0,FCF,Cc1ccccc1
0.992723338,0.92944,1,1.0,FC(F)C(F)(F)F,C=CC
1.0,0.8993018,1,1.0001703,FC(F)C(F)(F)F,CCC
1.0,0.9775661,1,1.0046832,FC(F)C(F)(F)F,FC(F)Cl
1.000280078,0.96147,1,1.0,FC(F)C(F)(F)F,FC(F)(F)C(F)(F)Cl
1.01043,0.99311,1,1.0,FC(F)C(F)(F)F,CCF
0.95649845,0.96866,1,1.0,FC(F)C(F)(F)F,N
0.985008176,0.91039,1,1.0,FC(F)C(F)(F)F,C1CC1
1.0,0.999,1,1.0,FC(F)C(F)(F)F,C=C(F)C(F)(F)F
1.0,1.0529664,1,1.0039379,FC(F)C(F)(F)F,COC
0.99429,1.00282,1,1.0,FC(F)C(F)(F)F,CC(F)F
1.00105,1.00517,1,1.0,FC(F)C(F)(F)F,COC(F)(F)F
1.003,1.0071,1,1.0,FC(F)C(F)(F)F,FC=CC(F)(F)F
1.00101,1.00302,1,1.0,FC(F)C(F)(F)F,FC(C(F)(F)F)C(F)(F)F
1.0,0.9053808,1,1.0036183,FC(F)C(F)(F)F,CC(C)C
1.0,1.0094115,1,1.0063437,FC(F)C(F)(F)F,FC(F)(F)CC(F)(F)F
1.0,0.9013212,1,1.003246,FC(F)C(F)(F)F,CCCC
0.99947,1.01046,1,1.0,FC(F)C(F)(F)F,FC(F)C(F)C(F)(F)F
0.99836,1.01325,1,1.0,FC(F)C(F)(F)F,FC(F)CC(F)(F)F
1.0,0.9155196,1,1.0119468,FC(F)C(F)(F)F,CCC(C)C
0.995401246,1.05044,1,1.0,FC(F)C(F)(F)F,CCO
