isomeric_smiles,BetaT,GammaT,BetaV,GammaV,Fij
CCCCC.CCCCCC,1,1.000761237,1,1.002480637,0
CCCCC.CCCCCCC,1,1.002441051,1,1.008972412,0
CCCCC.O,1,0.447666011,1,0.95667731,0
CCCCC.CCCCCCCC,1,1.016422347,1,1.069223964,0
CCCCC.CCCCCCCCC,1,1.103421755,1,1.034910633,0
CCCCC.CCCCCCCCCC,1,1.049035838,1,1.016370338,0
CC(=O)C.C1CCCCC1,1,0.9335,1,0.9903,-0.5274
CO.CC1=CC=CC=C1,0.947867299,0.764,1,1.183,5.902
CO.CCCCCCCCCC,1.095290252,1.047,1,0.957,-7.124
CO.C(CO)O,0.9942,1.0691,1.0723,0.8637,-1.703
CCCCCC.C1=CC=CC=C1,1,0.991,1,0.999,-0.92
CCCCCC.C1CCCCC1,1,1.002,1,0.9979,-0.3672
CCCCCC.COC(=O)OC,1,0.9365,1,1,-0.382
CCCCCC.CCCCCCC,1,0.999762786,1,1.001508227,0
CCCCCC.O,1,0.569681333,1,1.170217596,0
CCCCCC.CC1=CC=CC=C1,1,0.988,1,1,-0.213
CCCCCC.CCCCCCCC,1,1.001633952,1,1.006268954,0
CCCCCC.CCCCCCCCC,1,1.055369591,1,1.02076168,0
CCCCCC.CCCCCCCCCC,0.99764101,1.028939539,1.001516371,1.013511439,0
CCCCCC.CCCCCCCCCCCC,0.991,1.027,1,1.038,1.14
CCO.C1=CC=CC=C1,0.981354269,0.92,0.997008973,0.97,-0.162
CCO.CC1=CC=CC=C1,0.982318271,0.904,1,1,0.282
CCO.C(CO)O,1,1.0174,1,0.9095,0.3312
C1=CC=CC=C1.C1CCCCC1,1,0.9933,1,1,-0.6475
C1=CC=CC=C1.CCCCCCC,1,0.987,1,1.007,-0.675
C1=CC=CC=C1.CC1=CC=CC=C1,1,1,1,1.004,0.068
C1=CC=CC=C1.CCCCCCCC,1,0.994,1,1.016,-0.924
C1=CC=CC=C1.CCCCCCCCC,1.005025126,1,1,1,-1.193
C1=CC=CC=C1.CCCCCCCCCC,1.008064516,1.052,1,1,-2.444
C1CCCCC1.CCCCCCC,1,1,1,1.0015,-0.2539
C1CCCCC1.CC1=CC=CC=C1,1,1,1,0.9979,0.5865
C1CCCCC1.CCCCCCCC,1,1.008,1,1.0069,-0.358
C1CCCCC1.CCCCCCCCC,1,1.015,1,1.009,-0.358
C1CCCCC1.CCCCCCCCCC,1,1.025,1,1.012,-0.358
C1CCCCC1.CCCCCCCCCCC,1,1.04,1,1.014,-0.358
C1CCCCC1.CCCCCCCCCCCC,1,1.0548,1,1.0167,-0.358
CCCCCCC.O,1,1,1,1,0
CCCCCCC.CCCCCCCC,1,0.998793111,1,1.006767176,0
CCCCCCC.CCCCCCCCC,1,1.001150096,1,1.001370076,0
CCCCCCC.CCCCCCCCCC,1,1.002229938,1,1.002972346,0
O.CCCCCCCC,1,0.662072469,1,0.599484191,0
O.CCCCCCCCC,1,1,1,1,0
O.CCCCCCCCCC,1.114625565,0.740416402,1,0.551405318,0
CC1=CC=CC=C1.CCCCCCCC,1,0.996,1,1,-0.704
CC1=CC=CC=C1.CCCCCCCCC,1,1,1,1,-1.06
CC1=CC=CC=C1.CCCCCCCCCC,1,1.026,1,1,-1.395
CCCCCCCC.CCCCCCCCC,1,1.000235044,1,1.001357085,0
CCCCCCCC.CCCCCCCCCC,1,1.007186267,1,1.002553544,0
CCCCCCCCC.CCCCCCCCCC,1,1.000182392,1,1.00081052,0
CCCCCCCCC.CCCCCCCCCCCC,0.999,1.01,1,1.005,0.15
CCCCCCCCCC.CCCCCCCCCCCC,1,0.998,1,1.005,0.35
